service_id,date,exception_type
3,20160824,2
3,20160825,2
3,20160826,2
3,20160827,2
3,20160828,2
3,20160829,2
3,20160830,2
2,20160411,2
2,20160412,2
2,20160413,2
2,20160414,2
2,20160415,2
2,20160416,2
2,20160417,2
2,20160418,2
2,20160419,2
2,20160420,2
2,20160421,2
2,20160422,2
2,20160423,2
2,20160424,2
2,20160706,2
2,20160707,2
2,20160708,2
2,20160709,2
2,20160710,2
2,20160711,2
2,20160712,2
2,20160713,2
2,20160714,2
2,20160715,2
2,20160716,2
2,20160717,2
2,20160718,2
2,20160719,2
2,20160720,2
2,20160721,2
2,20160722,2
2,20160723,2
2,20160724,2
2,20160725,2
2,20160726,2
2,20160727,2
2,20160728,2
2,20160729,2
2,20160730,2
2,20160731,2
2,20160801,2
2,20160802,2
2,20160803,2
2,20160804,2
2,20160805,2
2,20160806,2
2,20160807,2
2,20160808,2
2,20160809,2
2,20160810,2
2,20160811,2
2,20160812,2
2,20160813,2
2,20160814,2
2,20160815,2
2,20160816,2
2,20160817,2
2,20160818,2
2,20160819,2
2,20160820,2
2,20160821,2
2,20160822,2
2,20160823,2
2,20160824,2
2,20160825,2
2,20160826,2
2,20160827,2
2,20160828,2
2,20160829,2
2,20160830,2
5,20160411,2
5,20160412,2
5,20160413,2
5,20160414,2
5,20160415,2
5,20160416,2
5,20160417,2
5,20160418,2
5,20160419,2
5,20160420,2
5,20160421,2
5,20160422,2
5,20160423,2
5,20160424,2
5,20160706,2
5,20160707,2
5,20160708,2
5,20160709,2
5,20160710,2
5,20160711,2
5,20160712,2
5,20160713,2
5,20160714,2
5,20160715,2
5,20160716,2
5,20160717,2
5,20160718,2
5,20160719,2
5,20160720,2
5,20160721,2
5,20160722,2
5,20160723,2
5,20160724,2
5,20160725,2
5,20160726,2
5,20160727,2
5,20160728,2
5,20160729,2
5,20160730,2
5,20160731,2
5,20160801,2
5,20160802,2
5,20160803,2
5,20160804,2
5,20160805,2
5,20160806,2
5,20160807,2
5,20160808,2
5,20160809,2
5,20160810,2
5,20160811,2
5,20160812,2
5,20160813,2
5,20160814,2
5,20160815,2
5,20160816,2
5,20160817,2
5,20160818,2
5,20160819,2
5,20160820,2
5,20160821,2
5,20160822,2
5,20160823,2
5,20160824,2
5,20160825,2
5,20160826,2
5,20160827,2
5,20160828,2
5,20160829,2
5,20160830,2
7,20160411,2
7,20160412,2
7,20160413,2
7,20160414,2
7,20160415,2
7,20160416,2
7,20160417,2
7,20160418,2
7,20160419,2
7,20160420,2
7,20160421,2
7,20160422,2
7,20160423,2
7,20160424,2
7,20160706,2
7,20160707,2
7,20160708,2
7,20160709,2
7,20160710,2
7,20160711,2
7,20160712,2
7,20160713,2
7,20160714,2
7,20160715,2
7,20160716,2
7,20160717,2
7,20160718,2
7,20160719,2
7,20160720,2
7,20160721,2
7,20160722,2
7,20160723,2
7,20160724,2
7,20160725,2
7,20160726,2
7,20160727,2
7,20160728,2
7,20160729,2
7,20160730,2
7,20160731,2
7,20160801,2
7,20160802,2
7,20160803,2
7,20160804,2
7,20160805,2
7,20160806,2
7,20160807,2
7,20160808,2
7,20160809,2
7,20160810,2
7,20160811,2
7,20160812,2
7,20160813,2
7,20160814,2
7,20160815,2
7,20160816,2
7,20160817,2
7,20160818,2
7,20160819,2
7,20160820,2
7,20160821,2
7,20160822,2
7,20160823,2
7,20160824,2
7,20160825,2
7,20160826,2
7,20160827,2
7,20160828,2
7,20160829,2
7,20160830,2
